,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount,day
1,2022-03-13 07:32:15,1,terra1zqvlwm80wn4yyv76l3cx0chem24z07vspsm8ll,2022-03-13 07:00:00.000,0,terra149cr9a8d0lhkhtesp9qqjrzy2frz88tdgd4w9g,DE77B565189C89B45C5EDA961B84AE1481644EC2E0F01548026AAED779070D58,transfer,1.4197990627000004e-26,2022-03-13
2,2022-03-13 14:36:43,1,terra1p0nxft7tlacep36me0s5xffm53jzadaxy2w9w0,2022-03-13 14:00:00.000,0,terra1l47gkt5x9tvukuhedv792g7zupsu750fsjsse0,E342BE2A76D8C1175E1BE3E2E7C8C29E0480D7D66F1F71F3ECC77CE171D0BE2C,transfer,3.3808887999999995e-29,2022-03-13
0,2022-03-13 05:17:26,1,terra1t76fg4grfe5p3dcph46tvatfya5vsw8878t7qx,2022-03-13 05:00:00.000,0,terra1w4ecfvntkxf4sfnq59s0w2jtfhxztjwmzn36am,13094231E0BC313EC2D5BF7FD019EEFF8489C7FA837085257662A28133A4E17C,transfer,1.7809215489999994e-33,2022-03-13
1,2022-03-13 07:32:15,1,terra1zqvlwm80wn4yyv76l3cx0chem24z07vspsm8ll,2022-03-13 07:00:00.000,0,terra149cr9a8d0lhkhtesp9qqjrzy2frz88tdgd4w9g,DE77B565189C89B45C5EDA961B84AE1481644EC2E0F01548026AAED779070D58,transfer,1.4197990627000005e-32,2022-03-13
2,2022-03-13 14:36:43,1,terra1p0nxft7tlacep36me0s5xffm53jzadaxy2w9w0,2022-03-13 14:00:00.000,0,terra1l47gkt5x9tvukuhedv792g7zupsu750fsjsse0,E342BE2A76D8C1175E1BE3E2E7C8C29E0480D7D66F1F71F3ECC77CE171D0BE2C,transfer,3.380888799999999e-35,2022-03-13
0,2022-02-07 19:32:44,1,terra1r2yhcpt5rn70gn0rsw8xstuu9zzw2hfrassppr,2022-02-07 19:00:00.000,0,terra19t5kmq3stpn8kctn7r8r262hpn02tre3u6x44k,58FA8E84DB7AD0868A95E41EB862E94E6807830BFF15953C7FCF4AEEFFF1C8C0,transfer,1.2475253300000007e-34,2022-02-07
1,2022-02-19 03:08:48,1,terra1xv7v32qzy6ll9a35w3jdmdq6p0kwfdthg8v287,2022-02-19 03:00:00.000,0,terra1z2fegmn6c4pcu2havy5l34new085dl8lkngtpp,C37D64B27EFB8DC766B772A94471C00ED9D278886EA2350D6B167F6860020E11,transfer,1.4331701241999998e-32,2022-02-19
2,2022-03-11 00:21:08,1,terra1u3aea2nv5dkde5rr425a2wdlajca7dy0ak2kgw,2022-03-11 00:00:00.000,0,terra1y6lwspkp6tzw8vhfskkal6ez4q3j5d5xp9ycln,B8967C122FB2169C5D6DBE252FAD98CA564745DAA560662E24981D6FF980B16A,transfer,1.774213982999999e-33,2022-03-11
3,2022-03-10 14:38:32,1,terra1yk3h5tqaph6edxale7u2ad3r7sehuwhj585xpu,2022-03-10 14:00:00.000,0,terra1qw0tajexn45rj64nup50lfdxd874gv89chhgtw,2E7B2ECAC4795EB1074C05D174EE733208CB3AD681A054BD02678729E41C520F,transfer,3.4528878700000008e-34,2022-03-10
4,2022-02-24 01:46:20,1,terra1wrymx2d0mtxs6kfhljc9z4l8me3jc44m6e52d6,2022-02-24 01:00:00.000,0,terra14rpmltqh5ymwfvc24k9dyfx02lzgnuu0c5m5cm,52A72B12C479384BD8DA4CFABA6864C037AC9216D8B779658B1292F11CD4260E,transfer,3.1662739e-35,2022-02-24
5,2022-03-10 01:03:48,1,terra1cuyqv6lry6xzwrrcmhn3jzgdys2k7ws3zt3u7h,2022-03-10 01:00:00.000,0,terra1xuvf4y4q8v2wymnd52t2cwqwvg2qgtl96267vj,5C2109B524CAEFD24D97A277F37D824D7F65A648C1E1FE4AB78AC0773EA2C228,transfer,1.3801170799999998e-34,2022-03-10
6,2022-03-04 14:24:34,1,terra1segkzmsrdwf66g5c7jmaq6q9mn49xj8l2wgc7g,2022-03-04 14:00:00.000,0,terra1mn3unuuhxt9602v0zwnjum9nmchx4wu846uxsk,82E390415D65FB39FB525699EC6E0F9C8B271FA2CA8636206C2DA1FBD5410AE3,transfer,6.999927000000002e-36,2022-03-04
