,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount
0,2022-02-06 19:06:45.241000,1,terra19vd8vw2wjs7u5hk83p7yu56flqnffrht0kk2d5,2022-02-06 19:00:00.000,0,terra1k6jhj2lmxck4d9s79ezu0akaqdn4cfjw862cfh,7078D936C905EF34952CD3AA03F06ABEC26BF5FDBDFE00A7A8062881B7538111,transfer,88776272
1,2022-02-07 11:27:18.986000,1,terra12dm0svdnrug5duph8yar892dz60xrjh9vfcsvd,2022-02-07 11:00:00.000,0,terra1e059yr0ysrzzqpn2694e6cnppfgu5gpswsr8gt,B071582BA0A295BF8DDE2356A3D64EB95ACDDDFC081246EFE84FF16876B956AC,transfer,1774155152
2,2022-03-01 12:42:18.318000,1,terra1jq9euslp2fp3udu2x490vsdsvzckal7jdkhgxd,2022-03-01 12:00:00.000,0,terra1txtu3wyjw9z0w4hufn5djllxt299hushkwczuq,7912A0906560D6EDF898F11E3DF3843AE3470D21C8023C7BBC07C5D3A73A911E,transfer,973577855
3,2022-03-10 10:51:32.393000,1,terra1gfy2palfvgn3q5k2ltmmq5rmnwuyyzung0nmy5,2022-03-10 10:00:00.000,0,terra193stezlzqu54nfcver4pdn5kvkepa77thva2sh,5F378F79095892182CF93C7A38B5C614336ACE859664FED204C6A3FEE0307BB6,transfer,5577056
4,2022-02-15 02:44:04.292000,1,terra1jesfrtv3yjcug7c2sfhfdavh6h0yhdhsvwhvdj,2022-02-15 02:00:00.000,0,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,AAB671D8257F2950AC4CBDF3A27A6EE7F8646AA4031A848783EB64124B58D6E2,transfer,1159414103
5,2022-02-23 15:20:07.102000,1,terra1nuq9tp8tytxf5yjwxm4z3r3phzqsgykwyuuydv,2022-02-23 15:00:00.000,0,terra15w3zh4fepwumm2nl2ej2m4k49yxpc3zvc2n739,0189932838F69991891300245FC5A8CA427F4BE85031347080E087845D3FB513,transfer,1195124739
6,2022-03-05 09:49:29.147000,1,terra18l33dkxg7t9wcd75ztucc5py8nvf424y5utkhj,2022-03-05 09:00:00.000,0,terra1a9lt8xny535e3zpyzt6etcedqzm5a32eyclszk,D2A07FD35A7CCB0B87C2B604AD2D1E602F35F4EDD0D51717074DEFA1AE0C4098,transfer,5533150560
7,2022-03-03 18:30:23.288000,1,terra16fwhjefgg8sdq5a8s9jzgfg25rkpsrnvjhuf2w,2022-03-03 18:00:00.000,0,terra1myc5dlhacwl834n5eqdpr93w8md6anppt0c8ge,EA568B42A52D5527B207956397FCD268A3FA00FA58709622F5E26FA599309C23,transfer,2957995518
8,2022-02-06 17:57:18.891000,1,terra1k7z26c2k8j60dlx95pv0yaaxw438ve0rzpj9qs,2022-02-06 17:00:00.000,0,terra1k9qr98aepp80eplhmpxt7y707ha5jwt2nndpfx,032F3FD93791F42DF943C845898C1911532FF2171E9897AA6705FBC6E204C718,transfer,4500000000
9,2022-02-18 18:13:29.875000,1,terra1re75x3pmvmvruyqn9p36uru9c6mfg5y70jljm8,2022-02-18 18:00:00.000,0,terra1p2ptfvmda4anhp68s80xlna6uekpwfqud73j4h,69062047147F29FCDA33EC865F6B1943B743412D2C5E7A689D7AF14B733B99DA,transfer,359221945
