,0_ask_asset,0_offer_amount,0_offer_asset,0_price,0_return_amount,1_ask_asset,1_offer_amount,1_offer_asset,1_price,1_return_amount,block_timestamp,event_index,from_,msg_index,sender,to_,tx_id
1955,PRISM,4552.987456,xPRISM,1.021924496,4455.307094,UST,4455.307094,PRISM,2.547984702,1748.561163,2022-02-16 22:09:15.592,3,terra1c6rrk5gz0qnyp3c54xvfy74t9c2k6casaa5ypt,0,terra1c6rrk5gz0qnyp3c54xvfy74t9c2k6casaa5ypt,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,78C86BA382FEBBD7F85B2C30E9DD994BE736BE2A7B9C2D783202BB7760B58D6F
1956,PRISM,6.0,UST,0.3624667384,16.553243,xPRISM,16.553243,PRISM,1.007107631,16.436419,2022-02-07 02:06:14.348,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra17cqc9c79j53ep0uetcug6d0nk5gw07wjdvcrnv,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,CC765B2982B545CC6F5B66A2E26DB9A8885E4D1A043F1289653BBCB0B9C57C04
1957,PRISM,38.0,UST,0.37660456340000004,100.901592,xPRISM,100.901592,PRISM,1.002592192,100.640712,2022-02-07 00:07:07.111,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1purll44jhmc7ygg7zyd7m8puxnvul659kydnxt,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,B731ADA86D975FE6E1F3DCEA216AA876FC64953DE00251CF625EA7CD796236DE
1958,PRISM,525.487581,xPRISM,1.001004154,524.96044,UST,524.96044,PRISM,2.997358124,175.141047,2022-02-07 12:26:20.379,3,terra1ttupqk3pxx3jz62nyp00a9q8j7hjfdj0ztsqcz,0,terra1ttupqk3pxx3jz62nyp00a9q8j7hjfdj0ztsqcz,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,83B957619D8022B447A35089F6024A3251465787518B92177265A912E5842739
1959,PRISM,1000.0,UST,0.3555393875,2812.627898,xPRISM,2812.627898,PRISM,1.002392011,2805.916116,2022-02-07 20:54:32.659,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra15vqatm65vhvvznypdhsutgwf5ma4chz5dptv9w,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,91793DA466BE44CDC9CBDDB9D7BED419FE93536CD7420BF6ACC6D3ED119F4180
1960,PRISM,25000.0,UST,0.3645259671,68582.219811,xPRISM,68582.219811,PRISM,1.012541542,67732.74669,2022-02-07 15:09:24.048,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1u4c8suhxecwklvxl59cjer2xssavf88trv0ldk,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,C38AD1E42B7E9C6ADAB1E1EC4A931858D01BCD513D441F95BE948503A450A7EA
1961,PRISM,100.0,UST,0.35087737150000003,284.999855,xPRISM,284.999855,PRISM,1.005558717,283.424379,2022-02-07 14:00:25.343,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1rcsktvs9esl25r87tmpjp3rvgv3fxgh9ccd7l4,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,58CB6632C379E96525C6A42FB0FAC8C32A18B5E688D6D80410265A58D9403782
1962,PRISM,100.0,UST,0.2967498769,336.984133,xPRISM,336.984133,PRISM,1.000273384,336.892032,2022-02-09 14:53:12.029,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1uud9ugmncxdek64vhldxs8gdr4emfexv6mfy5p,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,A79EE96CFB50EE769FDDB9AC1998FC4067F80D8D103A5D3C7E767E8ED5E11356
1963,PRISM,2200.0,UST,0.2505614243,8780.282145,xPRISM,8780.282145,PRISM,0.943038916,9310.625464,2022-02-09 15:58:00.058,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra153us982puykx28te746jyw4ctqk76v309mydm4,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,18EFE4E56F3170D02FA5F4C94C1010F6555C30B6BD85A74AFBCEB0AA14622AF4
1964,PRISM,13396.108361,xPRISM,1.00493754,13330.289529,UST,13330.289529,PRISM,3.083656899,4322.8835,2022-02-09 11:11:17.470,3,terra1hwjc57ulrdr62mcl30aj4wj20j0udg8emgln00,0,terra1hwjc57ulrdr62mcl30aj4wj20j0udg8emgln00,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,8F6CABF6827F36B162CA654996B63F8701520FC209C14BDA38A4F5B79065FDD8
1965,PRISM,2795.0,UST,0.25123267250000003,11125.145358,xPRISM,11125.145358,PRISM,0.9470273908,11747.437789,2022-02-09 15:59:05.898,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra153us982puykx28te746jyw4ctqk76v309mydm4,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,461016BF7B9F1DBB8DCF7E6D736A45158CC4783CE3C0567733A4D532341288D9
1966,PRISM,891.779849,xPRISM,1.004656054,887.646917,UST,887.646917,PRISM,3.393667834,261.559752,2022-02-09 15:26:45.171,3,terra17nctj0gh8larx3vwzqm8kckeelmxq46my5s2m4,0,terra17nctj0gh8larx3vwzqm8kckeelmxq46my5s2m4,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,4B4D25096DD4C58A4D465281C76E76E17F0ADE702487E518D7190DA40B27BD53
1967,PRISM,2077.0,xPRISM,1.004503119,2067.68895,UST,2067.68895,PRISM,3.003713667,688.377515,2022-02-09 06:09:50.967,3,terra105zmjye2lhtr0v4anmfagrwjk0wzflg8qdee5e,0,terra105zmjye2lhtr0v4anmfagrwjk0wzflg8qdee5e,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,7065EB80440C56F350550C7EFC546C15F4E86F572462385C8066EC2732E74F78
1968,PRISM,1700.0,xPRISM,1.003886555,1693.418436,UST,1693.418436,PRISM,2.976905421,568.851944,2022-02-09 05:31:42.393,3,terra18s3kuzdyk6vr3zcdraqd2lyn3fltpakexfxuaz,0,terra18s3kuzdyk6vr3zcdraqd2lyn3fltpakexfxuaz,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,C329B73AC6EDD6B43CE3EDEDFF7FBBB998E7C3D8958D5C5230A9581AF3FF048F
1969,PRISM,113.0,UST,0.2506420996,450.842058,xPRISM,450.842058,PRISM,0.9911350733000001,454.874487,2022-02-09 16:28:28.631,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1w6jzzfy3ptn35nczcymrxgn9qeqdanej9pjgpz,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,A0C193C918BEA18D1F248F254C398E4C056CAC2E7AB9CF592C687CBEAA8A45D9
1970,PRISM,1474.564108,xPRISM,1.005354047,1466.711267,UST,1466.711267,PRISM,3.393963177,432.15297,2022-02-09 13:51:16.550,3,terra1kumh37z8dz7um07dxuqtxn40rlckrheyqlvyyj,0,terra1kumh37z8dz7um07dxuqtxn40rlckrheyqlvyyj,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,DB31DBD0E9294C7678EE4818FFB16B0C26706650ECC6E9AA73388C39E982AF08
