,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
263,provide_liquidity,1676.442947,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,25.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,202.40346,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 21:53:17.301,1,terra1gcs5734n2nyjalf2399wgth7gsgu5cufpxkgrh,2022-02-14 21:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,EC0ECEEAB7D993576AB056ADC2248B9EB668BC59E7BDAA6707260B784B193532
264,provide_liquidity,771.186643,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,12.519999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,97.550406,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 17:18:10.435,1,terra1gf8mqpyelqccp45q5vk4fajjuwsj4nz3uzlty4,2022-02-14 17:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,8CB570DD7F06B8093DF7B27301873DC291E2B7430E331E89AD9CE6CEDA0B6C5B
265,provide_liquidity,1194550.75,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,14932.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,133555.351068,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 12:01:07.849,1,terra15ajdr0yxwntlrex7t7he0es9gkku60fle9vak0,2022-02-14 12:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,5CCC4EAB40DF5E429EDE66E7A93444A036928B048C16B8FEDFD31E211E26AFDA
266,provide_liquidity,335.18,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,4.918068,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,40.536357,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 13:00:58.858,1,terra19u3ke8r7su49kdkcwuxsaqmu0nj4zfch4apmpq,2022-02-14 13:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,A99062EAAA6673CA44FFBB671DF00E970CEE51E08B202B9FD2EEC7E2DBD1A290
267,provide_liquidity,389.909959,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,5.393058,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,45.619839,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 14:26:19.699,1,terra1ga280u2wl2hargsvhkucgffrmcqsgr2ufd37t4,2022-02-14 14:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,CB7FBF631F796155B5E5C27936FA016D4E7E5C33819DD9A30AB9BA13B43D7630
268,provide_liquidity,337.06,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,4.985753,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,40.490358,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 22:37:24.762,1,terra1ckcl76zy8qk0cnth3rss8m7g805yq3txqvvem3,2022-02-14 22:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,928A592816ED9DFD429D10272569DB51F673CCB65BA9E9505F12502646F0BE2C
269,provide_liquidity,2027.053796,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,30.089999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,243.138332,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 22:49:05.258,1,terra1vtqmqst4dnkyt6ajfpzlyd48jsel9cvy2myq6j,2022-02-14 22:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,4D0268569D33E4B49114C6A95101A38BA33A0B2768113E006F4DCC2CF36E7E25
270,provide_liquidity,5888.56738,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,85.9,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,700.102216,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 23:05:04.713,1,terra1llwl7z6x4pujpyy4nhwyg8kg9d5w2dg5seftqj,2022-02-14 23:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,39FE2E4AE1D25E775A57F814F3564FED94C8A25483A51BF18FC03951BF351315
271,provide_liquidity,13241.390705,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,212.01,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,1659.29764,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 17:54:05.430,1,terra1p9mn5hnreupyxxvagzyyrp4qkqu6z322wjajpz,2022-02-14 17:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,A5491EFE964F2D65244D0AFB37220E458B0412EC578CD70E30F8EFBB851461EC
272,provide_liquidity,138.264861,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,2.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,16.444197,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 21:31:39.172,1,terra1jv0j5sc4szzpqeezrttvzwhpp3yq7aydjhv3eu,2022-02-14 21:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,2D3736FFB60C6E005254FAB280A619340DF5A65C1D37291F064D0132ED82FE97
273,provide_liquidity,900.0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,15.485332,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,116.832131,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 16:39:42.475,1,terra16vfd0n0gqf8yjnej6g7qq4vrqza450vuhszgdw,2022-02-14 16:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,29AABC9393FEB734E386CC0E9CD55307C1DC5E9D5D993BE0AE757677FE779712
274,provide_liquidity,64.315944,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,1.08,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,8.274763,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 17:14:08.099,1,terra17xcu5hnd04udrn6qdzp3gvxd7f92z3p9tw77qf,2022-02-14 17:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,3CCA0488F5E92B9683B7D6FFE97EB6E1A520123ACC6C266010D54E7A193942C0
275,provide_liquidity,558.543734,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,10.0,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,73.796581,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-14 16:10:36.363,1,terra1m792pv28r2sd9767g9m2aj8qvgkj7dyy3n4fcw,2022-02-14 16:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,908F99C30A8039333C5268F680E382F9E2AC57550AA5182BDDCC39DDE1942940
