,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,4_action,4_amount,4_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
10,provide_liquidity,60.2866,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,1.6600000000000001,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,9.71854,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-15 01:56:47.970000,1,terra19c8xtqvqc7sw4datmgakgjpmnnlymmm7dmftts,2022-03-15 01:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,5C4E3B7C2D79F45BBC9BE94E6B7D1C70AC8F62A1B0D313FD93DE06467BD89CFA
11,provide_liquidity,19327.609789,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,531.999999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,3114.381344,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-15 01:48:27.480000,1,terra13c8g7plnyw3c4unzm23uclqaykhc47u8ze8xun,2022-03-15 01:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,7B6376F5BFA2CB3ABBB1279F7E830BF876084F87CD7EEEEBE15A5A97DF7F7567
12,send,6.981055,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,82.291343,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,0.6314949999999999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,6.981055,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,burn,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-15 15:54:03.429000,1,terra18w04vlhf5ayq0t3mj2ulefxpsy5dzq5wcu494a,2022-03-15 15:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,2BC788F557B2A1730D8D7743A713D3A3BCDC614AF190C7AD39FA11366AABDAF2
13,provide_liquidity,312.45,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,8.682732,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,50.581641,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-16 06:02:30.218000,1,terra13p5lndg2a4zz73dm7c40wxqf6662hhww6nhdgw,2022-03-16 06:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,8F5C913B824849B7345B6FD2AF5E56230B62681AA130B694A50F7A69EDE01AC9
14,send,1130.008509,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,6974.850641,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,194.124443,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,1130.008509,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-16 06:15:58.450000,1,terra10s48c0lxlg0cdam0g030vzyvul2h2c65cga0t0,2022-03-16 06:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,BC3B51013F86CC8DFFD3960AC4F81B19F32E0034B80064370D490AED8F570BDA
15,provide_liquidity,184.87,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,5.137387,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,29.928076,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-16 06:08:15.665000,1,terra13p5lndg2a4zz73dm7c40wxqf6662hhww6nhdgw,2022-03-16 06:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,4CA51EBFD924C3DDBA7C6C843E98A9D3AD95DC5E35B82624F37C2C6B078BF5B9
16,provide_liquidity,39.256115,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,1.1,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,6.3814779999999995,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-16 07:16:17.239000,1,terra1c5gn83as4gt28jgxnk5kh79pxqj909afax64kl,2022-03-16 07:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,51F401BD1B46147821751B550D82F5C83DCCCC39DEE73902D1CF7767941F1D91
17,provide_liquidity,125.36,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.997003,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,10.821395,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-16 07:54:57.110000,1,terra1uyftprjpe9u3a2l437ax62frch9dkemk392a25,2022-03-16 07:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,CAA6E274DF933E4CD27EB8DBE3B34E22A8DBDA24D93E1E22C22EE19161D8D186
18,provide_liquidity,17147.256614,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,488.360868,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,2812.061341,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 09:53:00.059000,1,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,2022-03-14 09:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,6E886EA30122690063FD2292C5499244C9F6338212DD88605D817D4387D042B1
19,provide_liquidity,204.62,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,5.982251,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,33.998175,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 11:20:53.249000,1,terra15t0rq69kg9kck43nscfnx2wj2xu8rnyyypknzq,2022-03-14 11:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,21354D66F97291AECD73B075EB9C406F3313EAF25BFA99967E70AF7FFECD6932
