,0_action,0_amount,1_amount,1_contract_address,2_amount,2_contract_address,3_contract_address,block_timestamp,event_index,from_,msg_index,to_,tx_id,bonded,minted
421,burn_from,10.097721,10.097721,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,10.097721,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 21:38:46.882,1,terra13fa9gg76jwyc4lfkgz3k4lalrjx4xn6n4wfy95,2,terra13fa9gg76jwyc4lfkgz3k4lalrjx4xn6n4wfy95,9398B3119767EEA077DD79EFEB4218BC6469376EE299EA6471C0827843D463E3,,
422,bond_split,2.241317,2.241317,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,2.241317,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 21:54:00.839,4,terra1vpu8hk7cywm9gqh8zkc59zapvsk7950jn7hjf9,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,FEB91D715047803A985CFAA856D724976EEA66EF2D5E89179F8E00B05D53E504,2.241317,2.241317
423,burn_from,45.423604,45.423604,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,45.423604,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 21:50:36.732,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,C032E8B0971B1070A4CCCA2477E71F15D77D6B0DEE9A53E8C0882C4FD695691E,,
424,burn_from,39.128099,39.128099,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,39.128099,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 21:20:18.069,1,terra1wfq6xfglwscavhgyyuu2zc9ks2yjtxtvgu3km5,2,terra1wfq6xfglwscavhgyyuu2zc9ks2yjtxtvgu3km5,CBB7D7C4AA19E7E10081C9AA7A71D3E85423E3EBD7E65229294408B330DAF30B,,
425,bond_split,8.0,8.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,8.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 21:43:11.326,4,terra1anda2fyy00amaxe3ryz25n0kf5nnvstmmkedpc,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,0E0D8FD2EC8109E3A83F3560EBDCD88FBE4553EAA6C7BCB62FC2495816AA79DB,8.0,8.0
426,burn_from,44.756722,44.756722,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,44.756722,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 21:50:17.284,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,631B93D144F0AE075E9656F7ADDA410FDAC6D615EB0EFAACA62A42503B8A4CCC,,
427,burn_from,36.095933,36.095933,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,36.095933,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 21:43:11.326,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,853A443A24711F28698613385295AEE045E9336FEBA65647FA76A1355BC2FC9B,,
428,bond_split,1.9849999999999999,1.9849999999999999,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,1.9849999999999999,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 22:22:54.687,4,terra17xx2hp3wyz737d9ssq3yjz3apjdqdehzakhdx9,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,D829D262D34B93FE782699A9C826F9F96EDB74A35B9FF890DF84387192053B74,1.9849999999999999,1.9849999999999999
429,bond_split,40.0,40.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,40.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 22:26:36.676,4,terra1lyareh24qmtn34ejcfxcy7s88m3ym8jtyh37yg,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,4823F74C5CFAB67430D1D582417D171DBAD28DE6F056B865F29CA960ECDF852D,40.0,40.0
430,bond_split,101.790528,101.790528,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,101.790528,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 22:13:03.027,4,terra1h7xau7jmnkljhkc94fzr2uevtyraeenmqj2a3c,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,026D9AF970010C0B7830D69ED951AF73D9833FC82F74B010A986853AAD875539,101.790528,101.790528
