,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
9578,yLUNA,2022-02-15 17:26:50.449,1,,1,804.984321,PRISM,74.094673943,10.864267,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,,2E40F0206D6673B4463DEB11565571146E5B040FB38BCE93D44CDB07E86CB386
9579,PRISM,2022-02-15 10:27:48.257,3,,0,35.067419,LUNA,0.007301111172,4803.024933,terra1rrjq9ypmj9lcmuqausslksa266x208f6pqjhaw,,285965D00085EC799E91907D43AEEAD62E845F43C7C181DC9CC1C119C8E1ABFC
9580,PRISM,2022-02-15 12:56:49.163,1,,0,34.534706,xPRISM,1.014381577,34.045084,terra1hfwjlantyguqzk6zqu7j6jcdwadcrq882aqfvk,,488817F2844A684AABCE90E5DB1A38B413D9FA9F030D697AD635B9A01AC7273F
9581,PRISM,2022-02-15 14:06:14.607,3,,1,53.932859,LUNA,0.007699598965,7004.632221,terra12glyg2am7ttfwrypv4phz340x84f728cm7pa53,,6651D302F31247CD047F85915686E04BA32D283A15C1410DDC16162810DDFDA4
9582,PRISM,2022-02-15 14:22:34.962,1,,0,38.479699,pLUNA,0.025928375509999997,1484.07674,terra17cj0a5wj86qyx0xsz2ach9kn384dfyal0yeqcm,,854E00B1C13233748A6384DAA15DE15D0EB109537D19BB907DB6CB3AC5F8A9D8
9583,xPRISM,2022-02-15 06:32:56.601,1,,0,8345.235892,PRISM,0.9780665215000001,8532.38068,,,084C138AC9099D6FB5DCAA32AFA1F74193D768718310B8087C023774AFD5D9B6
9584,xPRISM,2022-02-15 06:32:56.601,1,,0,8345.235892,PRISM,0.9780665215000001,8532.38068,terra1cm3pavsswhswswhvezv2u8eudwf8grx5hwr2k4,,084C138AC9099D6FB5DCAA32AFA1F74193D768718310B8087C023774AFD5D9B6
9585,xPRISM,2022-02-15 17:44:55.669,1,,0,9973.013422,PRISM,0.9914246641000001,10059.275085,,,E77C56DEDEA2AC36C82985D69715D86A61F813FEBC0EB5FFAD87600716BC9A13
9586,xPRISM,2022-02-15 17:44:55.669,1,,0,9973.013422,PRISM,0.9914246641000001,10059.275085,terra16kzmmpway0pnz5yw94kd5ku2fjl3d5gwtxckp8,,E77C56DEDEA2AC36C82985D69715D86A61F813FEBC0EB5FFAD87600716BC9A13
9587,xPRISM,2022-02-15 23:46:06.441,1,,0,107.674192,PRISM,0.9973205475,107.963475,terra134368jg3gx5gg5qmstmdenlxrdx2cys7lwslus,,D3194A42CDFDD440BA3645EB6DD41C54D4F245A99525000224E42A7EE74340A0
9588,PRISM,2022-02-15 04:48:18.247,1,,4,22.318691,pLUNA,0.01737608832,1284.448524,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,7A32DF3A1DFB34C11697CCBA8B9C0F23DB98AFD8A9D4A1B1D6308CDFE89A8CD6
9589,,2022-02-15 08:46:59.519,3,,0,,,,,terra167yajzyme0hhqrnylcuz0vwx6azgsjm2h4ch58,,D4E05C05E41953351CB9C471A000C8B18AF4FAE1471A85623E4982CA7FDF2E1B
9590,xPRISM,2022-02-15 18:36:10.258,1,,0,94.503665,PRISM,0.9786942587,96.560968,terra1wshy7ga7lamctqtgvmz8vaq9yenp0r3lj5sslz,,796A2B86CAA32A93EAD765DA08A4B6BC8ABBD1CC000A7118B7D28DC0B30E8938
9591,,2022-02-15 08:17:58.047,1,,0,,,,,terra1uq3wwn9dm3zrnk6gzzv36grmunjdh395nvj3nr,,4C5C48236D25498DC6B5575CEE00D080169DAB066EDC600AD7DB4358BACB2CA5
